Geotek MSCL 7.9 - TN336_BB16-18.out created at 9:50:14 on 1/22/2016.										
										
										
Processing Parameters										
										
CT	RCT=11.45	W=1.27								
PWAmp	A=1	B=0								
PWVel	PTO=26.51									
Den1	A=7.0444E-04	B=-.096532	C=9.8575							
MS1	A=1	B=0	Den=0	LD=14						
FP	MGD=2.75	WD=1.026								
RES	A=833.1719	B=-1.166733	p=0							
										
										
SB DEPTH	SECT NUM	SECT DEPTH	CT	PWAmp	PWVel	Den1	MS1	Imp	FP	RES
m		cm	cm		m/s	g/cc	SI x 10^-5			Ohm.m
										
-0.637	cal sect	0	10.928	0						260.3604
2.343	3	75.9	9.948	0.0015	1265.971	1.8415	12.5831	2331.223	0.527	4.5172
2.353	3	76.9	9.938	0.0016	1254.64	1.7997	12.6198	2257.987	0.5512	4.5714
2.363	3	77.9	9.933	0.0015	1513.946	1.7696	12.6382	2679.02	0.5687	4.4784
2.373	3	78.9	9.94	0.0015	1385.559	1.812	12.6125	2510.646	0.5441	4.2541
2.383	3	79.9	9.939	0.0008	1257.146	1.8362	12.6162	2308.43	0.53	4.0929
2.393	3	80.9	9.945	0.0011	1516.931	1.8124	12.5941	2749.344	0.5438	3.8756
2.403	3	81.9	9.961	0.0035	1515.672	1.8278	13.5803	2770.281	0.5349	3.7571
2.413	3	82.9	9.956	0.0025	1501.433	1.8212	12.5539	2734.421	0.5387	3.7203
2.423	3	83.9	9.932	0.0012	1352.949	1.7879	12.6419	2418.993	0.558	3.7228
2.433	3	84.9	9.936	0.0008	1248.241	1.7875	13.6795	2231.292	0.5583	3.7908
2.443	3	85.9	9.931	0.0012	1115.968	1.7783	13.6994	1984.562	0.5636	3.7308
2.453	3	86.9	9.935	0.0012	1108.817	1.7858	13.6834	1980.086	0.5593	3.6619
2.463	3	87.9	9.931	0.0009	1110.726	1.7816	13.6994	1978.853	0.5617	3.5302
2.473	3	88.9	9.926	0.0017	1114.78	1.7841	13.7194	1988.894	0.5603	3.2445
2.483	3	89.9	9.926	0.0015	1117.415	1.8102	13.7194	2022.757	0.5451	3.0102
2.493	3	90.9	9.927	0.0011	1417.738	1.7875	13.7154	2534.25	0.5583	2.9322
2.503	3	91.9	9.931	0.002	1505.838	1.7868	13.6994	2690.647	0.5587	2.8967
2.513	3	92.9	9.926	0.0013	1374.031	1.7698	13.7194	2431.818	0.5685	2.8891
2.523	3	93.9	9.923	0.0009	1509.661	1.7788	13.7314	2685.37	0.5633	2.8739
2.533	3	94.9	9.922	0.002	1509.279	1.7596	12.6788	2655.799	0.5745	2.8566
2.543	3	95.9	9.923	0.002	1489.94	1.7886	12.6752	2664.875	0.5577	2.8435
2.553	3	96.9	9.927	0.0005	1337.51	1.811	13.7154	2422.273	0.5446	2.8664
2.563	3	97.9	9.954	0.0012	1108.34	1.7948	12.5612	1989.286	0.554	2.869
2.573	3	98.9	9.955	0.0004	1291.18	1.7796	13.604	2297.743	0.5629	2.8674
2.583	3	99.9	9.96	0.0002	1063.194	1.7895	12.5393	1902.554	0.5572	2.9068
2.593	3	100.9	9.956	0.0002	1073.655	1.8209	13.6	1954.985	0.5389	2.9055
2.603	3	101.9	9.966	0.0004	1072.766	1.8485	13.5606	1982.991	0.5229	2.8912
2.613	3	102.9	9.949	0.0006	1067.948	1.8141	12.5795	1937.32	0.5429	2.8886
2.623	3	103.9	9.949	0.0005	1066.802	1.7722	12.5795	1890.587	0.5672	2.9284
2.633	3	104.9	9.928	0.0003	1061.932	1.7818	12.6567	1892.148	0.5616	2.9174
2.643	3	105.9	9.935	0.0005	1056.016	1.7676	12.6309	1866.609	0.5698	2.9166
2.653	3	106.9	9.936	0.0003	1055.786	1.7729	13.6795	1871.803	0.5668	2.9158
2.663	3	107.9	9.937	0.0004	1060.852	1.7799	13.6755	1888.166	0.5627	2.9266
2.673	3	108.9	9.941	0.0004	1070.075	1.7785	12.6088	1903.12	0.5635	2.9403
2.683	3	109.9	9.935	0.0004	1065.644	1.7641	12.6309	1879.861	0.5719	2.9395
2.693	3	110.9	9.946	0.0006	1076.99	1.7459	12.5905	1880.305	0.5824	2.9614
2.703	3	111.9	9.941	0.0005	1070.652	1.7857	12.6088	1911.828	0.5594	2.9496
2.713	3	112.9	9.94	0.0007	1071.236	1.7657	12.6125	1891.526	0.5709	2.9201
2.723	3	113.9	9.949	0.0012	1073.363	1.7552	12.5795	1883.957	0.577	2.8377
2.733	3	114.9	9.952	0.0008	1076.474	1.8018	12.5685	1939.612	0.55	2.7439
2.743	3	115.9	9.956	0.0004	1073.77	1.7223	12.5539	1849.331	0.5961	2.6932
2.753	3	116.9	9.967	0.0004	1074.03	1.7247	12.5138	1852.389	0.5947	2.7292
2.763	3	117.9	9.971	0.001	1069.161	1.7321	12.4993	1851.9	0.5904	2.7551
2.773	3	118.9	9.973	0.0006	1066.061	1.7333	12.492	1847.824	0.5897	2.7322
2.783	3	119.9	9.976	0.0007	1071.421	1.7642	12.4812	1890.182	0.5718	2.5871
2.793	3	120.9	9.982	0.0005	1077.504	1.7938	12.4595	1932.782	0.5547	2.4777
2.803	3	121.9	9.992	0.0005	1077.537	1.7733	12.4234	1910.799	0.5665	2.4417
2.813	3	122.9	9.991	0.0006	1074.879	1.745	11.3914	1875.623	0.583	2.5815
2.823	3	123.9	9.997	0.0005	1077.147	1.7134	11.3717	1845.55	0.6013	3.2412
2.833	3	124.9	10.002	0.0004	1071.911	1.6954	11.3552	1817.363	0.6117	3.4858
2.843	3	125.9	10	0.0004	1068.947	1.7049	11.3618	1822.442	0.6062	3.5139
2.853	3	126.9	10.007	0.0004	1062.54	1.6952	12.3696	1801.218	0.6118	3.4865
2.863	3	127.9	10.012	0.0005	1065.446	1.6859	12.3518	1796.259	0.6172	3.4691
2.873	3	128.9	10.022	0.0005	1071.07	1.6582	12.3161	1776.033	0.6333	3.4189
2.883	3	129.9	10.032	0.0005	1073.171	1.6668	12.2807	1788.772	0.6283	3.3791
2.893	3	130.9	10.037	0.0004	1074.74	1.7029	12.263	1830.146	0.6074	3.3578
2.903	3	131.9	10.041	0.0004	1073.444	1.7046	12.2489	1829.833	0.6064	3.3378
2.913	3	132.9	10.084	0.0004	1073.223	1.7311	12.0985	1857.818	0.591	3.3551
2.923	3	133.9	10.113	0.0002	1071.292	1.7883	11.9985	1915.773	0.5578	3.3347
2.933	3	134.9	10.278	0	105.6875	1.7265	11.451	182.4679	0.5937	3.3599
2.943	3	135.9	10.41	0	107.0448	1.6894	11.0378	180.8416	0.6152	3.4977
2.953	3	136.9	10.394	0	106.8803	1.7614	11.0868	188.2639	0.5734	3.7397
2.963	3	137.9	10.373	0	106.6643	1.786	10.2222	190.5027	0.5592	4.279
2.973	3	138.9	10.347	0.0001	923.5095	1.7891	10.2963	1652.289	0.5573	5.537
2.983	3	139.9	10.32	0	106.1193	1.7655	10.3741	187.3526	0.5711	10.4542
2.993	3	140.9	10.277	0.0001	1130.832	1.7979	9.5452	2033.17	0.5522	39.2082
3.003	3	141.9	10.234	0.0015	1300.051	1.5686	8.6951	2039.243	0.6853	3.9915
3.013	3	142.9	10.228	0.0037	1283.796	0.8552	7.7421	1097.88	1.0991	2.0389
3.023	3	143.9	10.188	0.0018	1377.129	0.5357	5.8726	737.6866	1.2844	1.5957
