Geotek MSCL 7.9 - TN336_BB29-33.raw created at 12:36:34 on 1/24/2016.,,,,,,,,,,,Geotek MSCL 7.9 - TN336_BB29-33.out created at 12:37:32 on 1/24/2016.,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Core Depth,Section,Sect Depth,CTD ,Tr. Time ,PW Amp   ,A Gamma  ,Mag Sus  ,Temp     ,NC Res   ,,SB DEPTH,SECT NUM,SECT DEPTH,CT,PWAmp,PWVel,Den1,MS1,MS1,Imp,FP,RES
m,,cm,mm,µsec,,cps,SI x 10^-5,¡C,mV,,m,,cm,cm,,m/s,g/cc,SI x 10^-5,x 10^-8 (m^3/kg),,,Ohm.m
,,,,,,,,,,,,,,,,,,,,,,
0.292,1,29.2,1.15,91.62,0.0143,3869,34,17.73,341.5,,0.292,1,29.2,10.295,0.0143,1572.476,1.865,32.2903,17.314,2932.631,0.5134,0.9138
0.302,1,30.2,1.19,91.63,0.02,3865,34,17.75,333.5,,0.302,1,30.2,10.299,0.02,1572.847,1.8657,32.2541,17.2879,2934.473,0.5129,0.9377
0.312,1,31.2,1.19,91.62,0.0148,3824,33,17.77,309.8,,0.312,1,31.2,10.299,0.0148,1573.087,1.8807,31.3055,16.6453,2958.565,0.5042,1.0166
0.322,1,32.2,1.22,91.34,0.0151,3789,33,17.78,308.3,,0.322,1,32.2,10.302,0.0151,1580.304,1.8932,31.2792,16.5221,2991.797,0.497,1.022
0.332,1,33.2,1.19,91.36,0.017,3837,32,17.79,306.4,,0.332,1,33.2,10.299,0.017,1579.359,1.876,30.3568,16.1821,2962.8,0.507,1.0288
0.342,1,34.2,1.19,91.33,0.0197,3823,33,17.8,304.1,,0.342,1,34.2,10.299,0.0197,1580.086,1.8811,31.3055,16.642,2972.312,0.504,1.0372
0.352,1,35.2,1.27,91.38,0.0219,3845,33,17.8,299.9,,0.352,1,35.2,10.307,0.0219,1580.101,1.8716,31.2355,16.6896,2957.256,0.5095,1.0534
0.362,1,36.2,1.58,91.64,0.011,3783,32,17.82,295.7,,0.362,1,36.2,10.338,0.011,1578.562,1.8888,30.0281,15.8978,2981.618,0.4995,1.0695
0.372,1,37.2,3.71,92.49,0.0023,3820,32,17.82,288.8,,0.372,1,37.2,10.551,0.0023,1590.443,1.8373,28.3179,15.4131,2922.059,0.5294,1.0976
0.382,1,38.2,4.13,92.61,0.0009,3801,31,17.85,282.3,,0.382,1,38.2,10.593,0.0009,1593.891,1.8368,27.122,14.7657,2927.698,0.5297,1.125
0.392,1,39.2,4.08,999,0,3746,31,17.86,273.5,,0.392,1,39.2,10.588,0.00055,1598.8065,1.8578,27.1588,14.6191,202.1898,0.5175,1.1646
0.402,1,40.2,4.19,92.24,0.0002,3701,30,17.89,257.8,,0.402,1,40.2,10.599,0.0002,1603.722,1.8725,26.2045,13.9942,3003.008,0.509,1.2425
0.412,1,41.2,4.1,92.19,0.0023,3667,29,17.89,232.1,,0.412,1,41.2,10.59,0.0023,1603.573,1.8869,25.3928,13.4574,3025.786,0.5006,1.3938
0.422,1,42.2,3.69,92.3,0.0011,3685,28,17.91,191,,0.422,1,42.2,10.549,0.0011,1594.709,1.8874,24.7917,13.1352,3009.888,0.5003,1.7241
0.432,1,43.2,3.09,91.23,0.0035,3707,26,17.91,125.5,,0.432,1,43.2,10.489,0.0035,1611.708,1.8899,23.4011,12.3822,3045.966,0.4989,2.7285
0.442,1,44.2,3.02,91.1,0.0066,3700,23,17.94,49.9,,0.442,1,44.2,10.482,0.0066,1613.857,1.8938,20.7407,10.9519,3056.326,0.4966,7.4815
0.452,1,45.2,2.81,91.25,0.0175,3798,18,17.96,-12.9,,0.452,1,45.2,10.461,0.0175,1606.912,1.8611,16.3257,8.772,2990.625,0.5156,32.8074
0.462,1,46.2,2.47,90.97,0.0049,9351,14,17.97,-52.4,,0.462,1,46.2,10.427,0.0049,1608.608,0.7262,12.8172,17.6505,1168.114,1.1739,7.0832
