Geotek MSCL 7.9 - TN336_JPC4-04.out created at 12:45:00 on 1/20/2016.


Processing Parameters

CT	RCT=11.45	W=1.27
PWAmp	A=1	B=0
PWVel	PTO=26.74
Den1	A=5.8845E-04	B=-.089542	C=8.5401
MS1	A=1	B=0	Den=0	LD=14	
FP	MGD=2.75	WD=1.026	
RES	A=858.6318	B=-1.165855	p=0	


SB DEPTH	SECT NUM	SECT DEPTH	CT	PWAmp	PWVel	Den1	MS1	Imp	FP	RES
m		cm	cm		m/s	g/cc	SI x 10^-5			Ohm.m

-0.640	cal sect	0.0	10.327	0.0122						153.4409
-0.580	cal sect	6.0	10.255	0.0102	1457.504	1.1336	-0.9604		0.9376	19.8688
-0.520	cal sect	12.0	9.947	0.0333	1449.155	1.1941	-2.0978	1730.446	0.9025	17.8759
-0.460	cal sect	18.0	9.985	0.0186	1448.361	1.167	-2.0748	1690.242	0.9182	17.0545
-0.400	cal sect	24.0	10.257	0.0005	1443.225	1.1887	-1.9198	1715.573	0.9056	12.7742
-0.340	cal sect	30.0	10.405	0.0087	1466.939	1.0911	-1.8422	1600.544	0.9623	4.204
-0.280	cal sect	36.0	10.349	0.0082	1482.877	1.1444	-0.9355	1696.998	0.9313	0.4822
-0.220	cal sect	42.0	10.006	0.0058	1472.987	1.1498	-2.0622	1693.64	0.9282	0.3492
-0.160	cal sect	48.0	9.957	0.0381	1467.935	1.1602	-1.0459	1703.031	0.9222	0.353
-0.100	cal sect	54.0	10.147	0.0078	1466.118	1.1208	-1.9805	1643.173	0.945	0.3607
-0.040	cal sect	60.0	10.209	0.0037	1477.21	1.1771	0.973	1738.761	0.9124	0.5182
0.010	 1	1.0	10.616	0.0						1.2837
0.020	 1	2.0	10.616	0.0	109.1889	1.6858	15.6506		0.6173	1.001
0.030	 1	3.0	10.59	0.0013	1509.407	1.7067	16.6367	2576.092	0.6052	0.8103
0.040	 1	4.0	10.537	0.0016	1487.227	1.7153	15.9897	2551.004	0.6002	0.7102
0.050	 1	5.0	10.181	0.0001	1471.881	1.7294	16.6721	2545.411	0.592	0.6588
0.060	 1	6.0	10.057	0.0022	1493.91	1.8019	16.2568	2691.865	0.5499	0.6284
0.070	 1	7.0	10.007	0.0046	1497.606	1.8265	15.462	2735.445	0.5356	0.6117
0.080	 1	8.0	10.001	0.004	1495.141	1.7434	13.4237	2606.684	0.5839	0.6076
0.090	 1	9.0	9.995	0.0097	1485.141	1.749	13.447	2597.523	0.5806	0.6133
0.100	 1	10.0	9.99	0.0162	1470.848	1.6924	12.4306	2489.216	0.6135	0.62
0.110	 1	11.0	9.99	0.0147	1466.314	1.7809	12.4306	2611.371	0.5621	0.6232
0.120	 1	12.0	9.99	0.0106	1473.234	1.7716	12.4306	2610.024	0.5675	0.6223
