Geotek MSCL 7.9 - TN336_TC10_10.raw created at 19:59:10 on 1/20/2016.,,,,,,,,,,,Geotek MSCL 7.9 - TN336_TC10_10.out created at 20:20:31 on 1/20/2016.,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Core Depth,Section,Sect Depth,CTD ,Tr. Time ,PW Amp   ,A Gamma  ,Mag Sus  ,Temp     ,NC Res   ,,SB DEPTH,SECT NUM,SECT DEPTH,CT,PWAmp,PWVel,Den1,MS1,MS1,Imp,FP,RES
m,,cm,mm,_sec,,cps,SI x 10^-5,_C,mV,,m,,cm,cm,,m/s,g/cc,SI x 10^-5,x 10^-8 (m^3/kg),,,Ohm.m
,,,,,,,,,,,,,,,,,,,,,,
0.311,1,31.1,0.96,95.7,0.0082,4967,22,19.95,661.9,,0.311,1,31.1,10.276,0.0082,1489.923,1.5344,21.0052,13.6896,2286.127,0.7051,0.4312
0.321,1,32.1,1.02,95.73,0.0063,4921,21,19.95,642.4,,0.321,1,32.1,10.282,0.0063,1490.145,1.5457,20.0167,12.9501,2303.299,0.6986,0.4461
0.331,1,33.1,1.1,95.72,0.0046,4980,20,19.95,634.9,,0.331,1,33.1,10.29,0.0046,1491.521,1.5289,19.0209,12.441,2280.368,0.7083,0.4521
0.341,1,34.1,1.06,95.78,0.0066,4990,21,19.95,631.4,,0.341,1,34.1,10.286,0.0066,1489.645,1.5269,19.9943,13.095,2274.481,0.7095,0.455
0.351,1,35.1,1.11,95.8,0.0043,4979,20,19.95,629.9,,0.351,1,35.1,10.291,0.0043,1489.938,1.529,19.0156,12.4366,2278.118,0.7082,0.4562
0.361,1,36.1,1.12,95.87,0.0076,4981,21,19.95,602.9,,0.361,1,36.1,10.292,0.0076,1488.574,1.5283,19.9607,13.0605,2275.031,0.7086,0.4795
0.371,1,37.1,1.16,96.08,0.0092,4990,20,19.95,600.4,,0.371,1,37.1,10.296,0.0092,1484.643,1.5254,18.989,12.4487,2264.642,0.7103,0.4817
0.381,1,38.1,1.15,96.15,0.009,4892,20,19.95,603.5,,0.381,1,38.1,10.295,0.009,1483.002,1.5515,18.9943,12.2426,2300.856,0.6952,0.479
0.391,1,39.1,1.2,96.07,0.0079,4938,20,19.94,604.7,,0.391,1,39.1,10.3,0.0079,1485.434,1.5385,18.9677,12.3289,2285.3,0.7027,0.4779
0.401,1,40.1,1.15,96.06,0.0083,4955,20,19.95,605,,0.401,1,40.1,10.295,0.0083,1484.927,1.5347,18.9943,12.3763,2278.953,0.7049,0.4775
