Geotek MSCL 7.9 - TN336_TC4-04.raw created at 22:27:54 on 1/19/2016.,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Core Depth,Section,Sect Depth,CTD ,Tr. Time ,PW Amp   ,A Gamma  ,Mag Sus  ,Temp     ,NC Res   ,,SB DEPTH,SECT NUM,SECT DEPTH,CT,PWAmp,PWVel,Den1,MS1,MS1,Imp,FP,RES
m,,cm,mm,_sec,,cps,SI x 10^-5,_C,mV,,m,,cm,cm,,m/s,g/cc,SI x 10^-5,x 10^-8 (m^3/kg),,,Ohm.m
,,,,,,,,,,,,,,,,,,,,,,
0.33,1,33,0.74,94.43,0.0053,1208,24,19.94,531.1,,0.33,1,33,10.254,0.0053,1514.847,1.8003,23.5437,13.366,2727.179054,0.55087007,0.486
0.34,1,34,0.74,94.43,0.005,1241,24,19.95,518.4,,0.34,1,34,10.254,0.005,1514.847,1.7615,23.5437,12.7754,2668.402991,0.57337587,0.4958
0.35,1,35,0.73,94.47,0.005,1237,23,19.95,505.7,,0.35,1,35,10.253,0.005,1513.805,1.7661,22.5627,13.3923,2673.531011,0.570707657,0.5018
0.36,1,36,0.68,94.48,0.0054,1244,24,19.95,494.5,,0.36,1,36,10.248,0.0054,1512.843,1.758,23.5437,12.8259,2659.577994,0.575406032,0.5064
0.37,1,37,0.73,94.48,0.0053,1243,23,19.96,482.9,,0.37,1,37,10.253,0.0053,1513.581,1.7592,22.5627,12.7754,2662.691695,0.574709977,0.5084
0.38,1,38,0.69,94.63,0.0043,1237,23,19.95,472.5,,0.38,1,38,10.249,0.0043,1509.648,1.7661,22.5627,12.4497,2666.189333,0.570707657,0.5092
0.39,1,39,0.7,94.63,0.0048,1198,23,19.96,461.7,,0.39,1,39,10.25,0.0048,1509.795,1.8123,22.5627,11.9323,2736.201479,0.543909513,0.515
0.4,1,40,0.69,94.57,0.0049,1201,22,19.96,452.7,,0.4,1,40,10.249,0.0049,1510.983,1.8087,21.5817,13.4719,2732.914952,0.54599768,0.5332
0.41,1,41,0.69,94.31,0.0038,1389,22,19.96,444.3,,0.41,1,41,10.249,0.0038,1516.797,1.602,21.5817,11.5268,2429.908794,0.665893271,0.5524
0.42,1,42,0.69,94.27,0.0056,1219,21,19.96,438.1,,0.42,1,42,10.249,0.0056,1517.696,1.7872,20.6007,10.8909,2712.426291,0.558468677,0.571
0.43,1,43,0.69,94.44,0.0052,1207,20,19.96,433.5,,0.43,1,43,10.249,0.0052,1513.885,1.8015,19.6197,11.0143,2727.263828,0.550174014,0.5873
0.44,1,44,0.67,94.17,0.0044,1224,20,19.97,429.5,,0.44,1,44,10.247,0.0044,1519.65,1.7813,19.6197,10.9344,2706.952545,0.561890951,0.6046
0.45,1,45,0.72,94.14,0.0046,1213,20,19.96,427.7,,0.45,1,45,10.252,0.0046,1521.068,1.7943,19.6197,10.7537,2729.252312,0.554350348,0.6206
0.46,1,46,0.69,94.19,0.0054,1188,20,19.97,426.8,,0.46,1,46,10.249,0.0054,1519.496,1.8245,19.6197,10.429,2772.320452,0.536832947,0.638
0.47,1,47,0.69,94.16,0.0046,1219,19,19.97,428,,0.47,1,47,10.249,0.0046,1520.172,1.7872,18.6388,10.264,2716.851398,0.558468677,0.6545
0.48,1,48,0.64,94.12,0.0048,1195,19,19.97,428.2,,0.48,1,48,10.244,0.0048,1520.332,1.8159,18.6388,9.8083,2760.770879,0.541821346,0.6723
0.49,1,49,0.89,94.08,0.0042,1208,18,19.97,424.6,,0.49,1,49,10.269,0.0042,1524.948,1.8003,17.6578,10.1565,2745.363884,0.55087007,0.688
0.5,1,50,0.84,94.03,0.0033,1261,18,19.97,419.7,,0.5,1,50,10.264,0.0033,1525.338,1.7386,17.6578,9.48,2651.952647,0.586658933,0.7032
0.51,1,51,0.9,93.9,0.0037,1243,17,19.97,415.9,,0.51,1,51,10.27,0.0037,1529.184,1.7592,16.6768,9.3547,2690.140493,0.574709977,0.7146
0.52,1,52,0.98,94.05,0.0033,1316,16,19.98,414.8,,0.52,1,52,10.278,0.0033,1526.965,1.6779,15.6958,9.2055,2562.094574,0.621867749,0.7235
0.53,1,53,0.63,94.06,0.0036,1291,16,19.97,417.8,,0.53,1,53,10.243,0.0036,1521.539,1.705,15.6958,8.4142,2594.223995,0.606148492,0.7314
0.54,1,54,0.69,94.25,0.0036,1252,15,19.98,422.7,,0.54,1,54,10.249,0.0036,1518.145,1.7488,14.7148,8.3812,2654.931976,0.580742459,0.7349
0.55,1,55,0.73,94.19,0.0033,1246,15,19.98,425.7,,0.55,1,55,10.253,0.0033,1520.089,1.7557,14.7148,8.4087,2668.820257,0.576740139,0.7367
