Geotek MSCL 7.9 - TN336_BB25-28.raw created at 18:40:05 on 1/23/2016.,,,,,,,,,,,Geotek MSCL 7.9 - TN336_BB25-28.out created at 18:40:45 on 1/23/2016.,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Core Depth,Section,Sect Depth,CTD ,Tr. Time ,PW Amp   ,A Gamma  ,Mag Sus  ,Temp     ,NC Res   ,,SB DEPTH,SECT NUM,SECT DEPTH,CT,PWAmp,PWVel,Den1,MS1,MS1,Imp,FP,RES
m,,cm,mm,µsec,,cps,SI x 10^-5,¡C,mV,,m,,cm,cm,,m/s,g/cc,SI x 10^-5,x 10^-8 (m^3/kg),,,Ohm.m
,,,,,,,,,,,,,,,,,,,,,,
0.311,1,31.1,0.81,94.9,0.0185,4755,24,19.81,643.8,,0.311,1,31.1,10.261,0.0185,1492.509,1.587,23.0115,14.4996,2368.67,0.6746,0.457
0.321,1,32.1,0.83,94.89,0.0189,4813,24,19.81,641.5,,0.321,1,32.1,10.263,0.0189,1493.017,1.5704,22.9986,14.6446,2344.706,0.6842,0.4588
0.331,1,33.1,0.83,95.1,0.019,4737,24,19.81,637.4,,0.331,1,33.1,10.263,0.019,1488.47,1.5918,22.9986,14.4479,2369.394,0.6718,0.4621
0.341,1,34.1,0.83,94.94,0.0196,4893,24,19.81,631.5,,0.341,1,34.1,10.263,0.0196,1491.932,1.5484,22.9986,14.8533,2310.079,0.697,0.4668
0.351,1,35.1,0.83,94.96,0.022,4830,25,19.81,633.4,,0.351,1,35.1,10.263,0.022,1491.498,1.5657,23.9569,15.3008,2335.271,0.6869,0.4653
0.361,1,36.1,0.79,94.82,0.0194,4804,24,19.81,629.4,,0.361,1,36.1,10.259,0.0194,1493.957,1.5736,23.0244,14.632,2350.848,0.6824,0.4685
0.371,1,37.1,0.78,95.04,0.0223,4887,24,19.81,626.6,,0.371,1,37.1,10.258,0.0223,1489.04,1.5508,23.0309,14.8512,2309.168,0.6956,0.4708
0.381,1,38.1,0.82,94.92,0.0158,4842,25,19.81,619.5,,0.381,1,38.1,10.262,0.0158,1492.22,1.5625,23.9636,15.3362,2331.668,0.6888,0.4767
0.391,1,39.1,0.79,94.81,0.0228,4785,25,19.81,610,,0.391,1,39.1,10.259,0.0228,1494.174,1.5789,23.9838,15.1903,2359.142,0.6793,0.4848
0.401,1,40.1,0.79,94.85,0.0282,4726,24,19.82,598,,0.401,1,40.1,10.259,0.0282,1493.304,1.5956,23.0244,14.4301,2382.692,0.6696,0.4954
0.411,1,41.1,0.79,94.8,0.0221,4744,25,19.81,590.2,,0.411,1,41.1,10.259,0.0221,1494.392,1.5905,23.9838,15.0797,2376.778,0.6726,0.5026
0.421,1,42.1,0.72,94.52,0.0344,4697,24,19.81,587.3,,0.421,1,42.1,10.252,0.0344,1499.488,1.605,23.0698,14.3739,2406.644,0.6642,0.5053
0.431,1,43.1,0.74,94.52,0.0275,4668,24,19.8,586.5,,0.431,1,43.1,10.254,0.0275,1499.781,1.613,23.0568,14.2941,2419.189,0.6595,0.5061
