Geotek MSCL 7.9 - TN336_TC38-47.raw created at 4:43:36 on 1/26/2016.,,,,,,,,,,,Geotek MSCL 7.9 - TN336_TC38-47.out created at 4:56:45 on 1/26/2016.,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Core Depth,Section,Sect Depth,CTD ,Tr. Time ,PW Amp   ,A Gamma  ,Mag Sus  ,Temp     ,NC Res   ,,SB DEPTH,SECT NUM,SECT DEPTH,CT,PWAmp,PWVel,Den1,MS1,MS1,Imp,FP,RES
m,,cm,mm,_sec,,cps,SI x 10^-5,_C,mV,,m,,cm,cm,,m/s,g/cc,SI x 10^-5,x 10^-8 (m^3/kg),,,Ohm.m
,,,,,,,,,,,,,,,,,,,,,,
0.002,1,0.2,6.12,999,0,7544,40,19.13,270.3,,0.002,1,0.2,10.792,0,110.9786,0.9501,33.1797,34.922,105.4418,1.044,1.1338
0.012,1,1.2,6.01,999,0,4897,49,19.12,312.9,,0.012,1,1.2,10.781,0,110.8655,1.4681,40.7638,27.7659,162.7642,0.7435,0.9722
0.022,1,2.2,5.94,97,0.0012,4903,57,19.13,385.9,,0.022,1,2.2,10.774,0.0012,1529.529,1.4675,47.5073,32.3722,2244.633,0.7439,0.7797
0.032,1,3.2,5.33,97.34,0.0018,4883,62,19.13,464.2,,0.032,1,3.2,10.713,0.0018,1513.563,1.4811,52.521,35.4613,2241.706,0.736,0.6421
0.042,1,4.2,4.51,999,0,4865,68,19.13,529.3,,0.042,1,4.2,10.631,0,109.3229,1.4972,58.8857,39.3297,163.6819,0.7267,0.5592
0.052,1,5.2,0.46,93.92,0.0009,4815,72,19.13,567.4,,0.052,1,5.2,10.226,0.0009,1518.112,1.5703,69.7181,44.3976,2383.91,0.6843,0.5199
0.062,1,6.2,0.31,94.69,0.0015,4760,76,19.13,589.7,,0.062,1,6.2,10.211,0.0015,1498.752,1.588,73.9037,46.5385,2380.038,0.674,0.4992
0.072,1,7.2,0.13,94.05,0.0007,4769,80,19.13,596.6,,0.072,1,7.2,10.193,0.0007,1510.298,1.5883,78.1904,49.2297,2398.773,0.6739,0.4931
0.082,1,8.2,-0.45,94.3,0.0039,4671,85,19.13,598.6,,0.082,1,8.2,10.135,0.0039,1496.162,1.6255,84.4574,51.9576,2432.019,0.6523,0.4914
0.092,1,9.2,-0.48,94.47,0.0047,4636,90,19.13,598.1,,0.092,1,9.2,10.132,0.0047,1491.975,1.6362,89.5019,54.7004,2441.201,0.646,0.4918
0.102,1,10.2,-0.49,94.19,0.0062,4683,96,19.13,594.8,,0.102,1,10.2,10.131,0.0062,1498.004,1.6227,95.496,58.8515,2430.751,0.6539,0.4947
