Geotek MSCL 7.9 - TN336_JPC27-31.raw created at 4:07:41 on 1/24/2016.,,,,,,,,,,,Geotek MSCL 7.9 - TN336_JPC27-31.out created at 4:16:17 on 1/24/2016.,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Core Depth,Section,Sect Depth,CTD ,Tr. Time ,PW Amp   ,A Gamma  ,Mag Sus  ,Temp     ,NC Res   ,,SB DEPTH,SECT NUM,SECT DEPTH,CT,PWAmp,PWVel,Den1,MS1,MS1,Imp,FP,RES
m,,cm,mm,_sec,,cps,SI x 10^-5,_C,mV,,m,,cm,cm,,m/s,g/cc,SI x 10^-5,x 10^-8 (m^3/kg),,,Ohm.m
,,,,,,,,,,,,,,,,,,,,,,
2.592,2,122.02,0.13,101.12,0.0032,4807,19,19.62,409.4,,2.592,2,122,10.193,0.0032,1359.61,1.5829,18.5702,11.7316,2152.151,0.677,0.7496
2.602,2,123.02,0.14,106.39,0.0036,4834,20,19.62,412.1,,2.602,2,123,10.194,0.0036,1270.439,1.5752,19.5421,12.4061,2001.198,0.6814,0.7442
2.612,2,124.02,0.23,106.89,0.0028,4818,20,19.62,415.4,,2.612,2,124,10.203,0.0028,1263.686,1.5783,19.4924,12.3504,1994.454,0.6797,0.7377
2.622,2,125.02,0.31,107.88,0.0019,4813,20,19.63,420.6,,2.622,2,125,10.211,0.0019,1249.358,1.5784,19.4483,12.3212,1972.043,0.6796,0.7277
2.632,2,126.02,0.39,107.48,0.0019,4831,20,19.62,421.5,,2.632,2,126,10.219,0.0019,1256.486,1.5722,19.4044,12.3423,1975.427,0.6832,0.7261
2.642,2,127.02,0.5,107.01,0.0017,4767,21,19.63,422.8,,2.642,2,127,10.23,0.0017,1265.15,1.5884,20.3115,12.787,2009.625,0.6738,0.7237
2.652,2,128.02,0.55,107,0.0017,4833,21,19.62,424.3,,2.652,2,128,10.235,0.0017,1265.925,1.5692,20.2829,12.9259,1986.452,0.6849,0.7208
2.662,2,129.02,0.69,107.18,0.0012,4822,21,19.63,426.2,,2.662,2,129,10.249,0.0012,1264.84,1.5701,20.2031,12.8675,1985.906,0.6844,0.7174
2.672,2,130.02,0.74,107.28,0.001,4834,21,19.61,422.6,,2.672,2,130,10.254,0.001,1263.897,1.566,20.1747,12.8831,1979.245,0.6868,0.724
2.682,2,131.02,0.88,107.66,0.0021,4827,21,19.62,415.8,,2.682,2,131,10.268,0.0021,1259.723,1.5658,20.0955,12.8341,1972.463,0.6869,0.7369
2.692,2,132.02,0.98,107.47,0.001,4921,22,19.62,408.9,,2.692,2,132,10.278,0.001,1263.896,1.5385,20.9935,13.6453,1944.52,0.7027,0.7506
2.702,2,133.02,1.01,107.58,0.0005,4901,22,19.62,392.7,,2.702,2,133,10.281,0.0005,1262.557,1.5435,20.9758,13.5898,1948.745,0.6998,0.7845
2.712,2,134.02,1.09,107.88,0.0008,4872,23,19.62,389.5,,2.712,2,134,10.289,0.0008,1258.901,1.5502,21.8801,14.1144,1951.553,0.6959,0.7916
2.722,2,135.02,1.14,112.2,0.0012,4881,23,19.62,388.5,,2.722,2,135,10.294,0.0012,1196.281,1.547,21.8495,14.1239,1850.635,0.6978,0.7936
2.732,2,136.02,1.3,117.08,0.0006,4898,23,19.62,388,,2.732,2,136,10.31,0.0006,1133.839,1.54,21.752,14.125,1746.072,0.7019,0.7949
2.742,2,137.02,1.39,107.87,0.0006,4808,23,19.62,386.3,,2.742,2,137,10.319,0.0006,1262.726,1.5633,21.6974,13.8791,1974.035,0.6883,0.7986
2.752,2,138.02,1.46,112.13,0.0005,4848,24,19.61,388.7,,2.752,2,138,10.326,0.0005,1200.977,1.5512,22.5965,14.567,1862.976,0.6954,0.7934
2.762,2,139.02,1.52,112.19,0.0007,4942,24,19.62,389.2,,2.762,2,139,10.332,0.0007,1200.837,1.5248,22.5588,14.7943,1831.072,0.7107,0.7921
2.772,2,140.02,1.56,112.26,0.0014,4914,25,19.61,389.3,,2.772,2,140,10.336,0.0014,1200.325,1.5318,23.4725,15.3238,1838.617,0.7066,0.792
2.782,2,141.02,2.02,112.6,0.0016,4874,25,19.62,389.8,,2.782,2,141,10.382,0.0016,1200.925,1.5358,23.1743,15.0897,1844.35,0.7043,0.7907
2.792,2,142.02,2.16,108.12,0.0007,4863,25,19.62,391.6,,2.792,2,142,10.396,0.0007,1268.269,1.5367,23.0847,15.0223,1948.936,0.7038,0.7868
2.802,2,143.02,2.39,112.43,0.0003,4841,26,19.62,393.7,,2.802,2,143,10.419,0.0003,1207.58,1.5393,23.8559,15.4981,1858.8,0.7023,0.7823
2.812,2,144.02,4.24,119.16,0.0001,4781,26,19.62,393.5,,2.812,2,144,10.604,0.0001,1140.092,1.5286,22.6799,14.8369,1742.758,0.7085,0.7827
2.822,2,145.02,4.03,999,0,4795,26,19.61,391.7,,2.822,2,145,10.583,0,108.7835,1.5278,22.8092,14.9291,166.2034,0.7089,0.7866
