Geotek MSCL 7.9 - TN336_TC20-23.raw created at 4:43:50 on 1/23/2016.,,,,,,,,,,,Geotek MSCL 7.9 - TN336_TC20-23.out created at 4:45:39 on 1/23/2016.,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Core Depth,Section,Sect Depth,CTD ,Tr. Time ,PW Amp   ,A Gamma  ,Mag Sus  ,Temp     ,NC Res   ,,SB DEPTH,SECT NUM,SECT DEPTH,CT,PWAmp,PWVel,Den1,MS1,MS1,Imp,FP,RES
m,,cm,mm,_sec,,cps,SI x 10^-5,_C,mV,,m,,cm,cm,,m/s,g/cc,SI x 10^-5,x 10^-8 (m^3/kg),,,Ohm.m
,,,,,,,,,,,,,,,,,,,,,,
0.312,1,31.2,-0.04,95.12,0.0188,5099,18,18.43,753.4,,0.312,1,31.2,10.176,0.0188,1475.424,1.5063,17.6778,11.7359,2222.43,0.7214,0.3827
0.322,1,32.2,-0.04,95.1,0.0126,5054,18,18.43,749.7,,0.322,1,32.2,10.176,0.0126,1475.852,1.5181,17.6778,11.6443,2240.562,0.7145,0.3847
0.332,1,33.2,-0.03,95.26,0.0132,5020,18,18.44,743.3,,0.332,1,33.2,10.177,0.0132,1472.58,1.527,17.6728,11.5733,2248.682,0.7094,0.3883
0.342,1,34.2,0.07,95.24,0.0087,5103,18,18.44,736.6,,0.342,1,34.2,10.187,0.0087,1474.454,1.5036,17.6228,11.7202,2217.028,0.723,0.3922
0.352,1,35.2,0.02,95.05,0.0082,5077,18,18.44,732.4,,0.352,1,35.2,10.182,0.0082,1477.794,1.5112,17.6478,11.6781,2233.219,0.7186,0.3946
0.362,1,36.2,0.02,95.11,0.0136,5172,18,18.45,727.9,,0.362,1,36.2,10.182,0.0136,1476.508,1.4865,17.6478,11.8723,2194.785,0.7329,0.3973
0.372,1,37.2,0.12,94.92,0.0147,5107,18,18.45,721.1,,0.372,1,37.2,10.192,0.0147,1482.042,1.5018,17.5978,11.7175,2225.796,0.724,0.4013
0.382,1,38.2,0.12,94.97,0.0148,5076,17,18.44,708.8,,0.382,1,38.2,10.192,0.0148,1480.965,1.51,16.6202,11.007,2236.205,0.7193,0.4089
0.392,1,39.2,0.12,94.99,0.0172,5144,17,18.45,694.9,,0.392,1,39.2,10.192,0.0172,1480.535,1.4922,16.6202,11.1378,2209.299,0.7296,0.4177
0.402,1,40.2,0.19,95.01,0.0199,5112,17,18.45,683,,0.402,1,40.2,10.199,0.0199,1481.121,1.4995,16.5873,11.0618,2220.957,0.7253,0.4256
0.412,1,41.2,0.17,95.02,0.0245,5095,16,18.45,676.9,,0.412,1,41.2,10.197,0.0245,1480.616,1.5042,15.6204,10.3842,2227.206,0.7226,0.4298
0.422,1,42.2,0.15,95.11,0.0224,5124,17,18.46,674,,0.422,1,42.2,10.195,0.0224,1478.393,1.497,16.6061,11.0931,2213.119,0.7268,0.4318
0.432,1,43.2,0.24,95.12,0.0233,5108,17,18.47,669.3,,0.432,1,43.2,10.204,0.0233,1479.484,1.4998,16.5638,11.0439,2218.956,0.7252,0.4351
