Geotek MSCL 7.9 - TN336_TC44-55.raw created at 4:59:38 on 1/28/2016.,,,,,,,,,,,Geotek MSCL 7.9 - TN336_TC44-55_massMS.out created at 5:01:09 on 1/28/2016.,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Core Depth,Section,Sect Depth,CTD ,Tr. Time ,PW Amp   ,A Gamma  ,Mag Sus  ,Temp     ,NC Res   ,,SB DEPTH,SECT NUM,SECT DEPTH,CT,PWAmp,PWVel,Den1,MS1,MS1,Imp,FP,RES
m,,cm,mm,_sec,,cps,SI x 10^-5,_C,mV,,m,,cm,cm,,m/s,g/cc,x 10^-8 (m^3/kg),x 10^-8 (m^3/kg),,,Ohm.m
,,,,,,,,,,,,,,,,,,,,,,
1.343,2,45.58,1.09,95.31,0.0293,4556,26,18.93,498.2,,1.343,2,45.6,10.289,0.0293,1515.986,1.6356,24.7341,15.1224,2479.54,0.6464,0.5957
1.353,2,46.58,1.08,95.29,0.0289,4545,26,18.93,495.4,,1.353,2,46.6,10.288,0.0289,1516.286,1.6388,24.741,15.097,2484.893,0.6445,0.5993
1.363,2,47.58,1.06,95.34,0.0276,4600,24,18.93,493.9,,1.363,2,47.6,10.286,0.0276,1514.875,1.624,22.8506,14.0708,2460.118,0.6531,0.6014
1.373,2,48.58,1.13,95.37,0.0216,4545,24,18.93,492.7,,1.373,2,48.6,10.293,0.0216,1515.236,1.638,22.8059,13.923,2481.967,0.645,0.6029
1.383,2,49.58,1.19,95.38,0.0222,4580,24,18.93,486.8,,1.383,2,49.6,10.299,0.0222,1515.896,1.6274,22.7676,13.9902,2466.966,0.6512,0.6106
1.393,2,50.58,1.19,95.44,0.0215,4672,23,18.93,485.6,,1.393,2,50.6,10.299,0.0215,1514.559,1.6025,21.819,13.6157,2427.052,0.6656,0.6123
1.403,2,51.58,1.18,95.46,0.0205,4696,22,18.93,484.2,,1.403,2,51.6,10.298,0.0205,1513.966,1.5962,20.8762,13.0783,2416.658,0.6692,0.6142
1.413,2,52.58,1.22,95.44,0.0229,4674,23,18.94,482.9,,1.413,2,52.6,10.302,0.0229,1515,1.6015,21.8007,13.6128,2426.242,0.6662,0.6159
1.423,2,53.58,1.21,95.68,0.0191,4721,22,18.94,481.5,,1.423,2,53.6,10.301,0.0191,1509.525,1.5892,20.8587,13.1255,2398.886,0.6733,0.6179
1.433,2,54.58,1.18,95.59,0.0171,4661,21,18.94,480.6,,1.433,2,54.6,10.298,0.0171,1511.078,1.6056,19.9272,12.4112,2426.16,0.6638,0.619
1.443,2,55.58,1.28,95.58,0.019,4594,22,18.94,482.2,,1.443,2,55.6,10.308,0.019,1512.768,1.6221,20.8179,12.8335,2453.929,0.6542,0.6169
1.453,2,56.58,1.28,95.47,0.0185,4589,21,18.94,485.5,,1.453,2,56.6,10.308,0.0185,1515.214,1.6235,19.8716,12.2399,2459.968,0.6534,0.6124
1.463,2,57.58,1.31,95.44,0.0222,4579,21,18.94,486.6,,1.463,2,57.6,10.311,0.0222,1516.323,1.6258,19.8549,12.2126,2465.205,0.6521,0.6109
1.473,2,58.58,1.32,95.33,0.0281,4589,21,18.94,486.7,,1.473,2,58.6,10.312,0.0281,1518.928,1.6229,19.8494,12.231,2465.041,0.6538,0.6108
1.483,2,59.58,1.29,95.25,0.0306,4546,21,18.94,483.5,,1.483,2,59.6,10.309,0.0306,1520.277,1.6352,19.866,12.1491,2485.938,0.6466,0.6151
1.493,2,60.58,1.27,95.27,0.0284,4486,22,18.94,480.8,,1.493,2,60.6,10.307,0.0284,1519.534,1.6523,20.8237,12.6031,2510.681,0.6367,0.6188
1.503,2,61.58,1.23,95.04,0.0286,4401,21,18.95,478.1,,1.503,2,61.6,10.303,0.0286,1524.112,1.6772,19.8994,11.8647,2556.23,0.6223,0.6225
1.513,2,62.58,1.22,95.21,0.0309,4426,21,18.95,478.9,,1.513,2,62.6,10.302,0.0309,1520.142,1.6701,19.905,11.9181,2538.862,0.6264,0.6214
1.523,2,63.58,1.17,95.19,0.0285,4490,21,18.94,478,,1.523,2,63.6,10.297,0.0285,1519.852,1.6527,19.9328,12.0604,2511.931,0.6365,0.6226
1.533,2,64.58,1.12,95.23,0.0219,4437,21,18.94,477.2,,1.533,2,64.6,10.292,0.0219,1518.218,1.6686,19.9607,11.9625,2533.32,0.6273,0.6237
1.543,2,65.58,1.09,95.18,0.0197,4470,20,18.95,479.5,,1.543,2,65.6,10.289,0.0197,1518.896,1.6597,19.0262,11.4637,2520.896,0.6324,0.6206
1.553,2,66.58,1.07,95.23,0.0162,4577,19,18.95,479.2,,1.553,2,66.6,10.287,0.0162,1517.48,1.6301,18.085,11.0943,2473.676,0.6496,0.621
1.563,2,67.58,1.01,95.42,0.0159,4845,18,18.97,479.7,,1.563,2,67.6,10.281,0.0159,1512.357,1.5601,17.162,11.0008,2359.383,0.6902,0.6202
1.573,2,68.58,0.94,95.37,0.0147,4819,17,18.98,480.3,,1.573,2,68.6,10.274,0.0147,1512.439,1.5678,16.2404,10.3588,2371.196,0.6857,0.6195
1.583,2,69.58,0.9,95.23,0.0245,4606,17,18.97,479.9,,1.583,2,69.6,10.27,0.0245,1514.973,1.6249,16.2587,10.0062,2461.625,0.6526,0.6201
1.593,2,70.58,0.84,95.29,0.0201,4590,16,18.97,477.2,,1.593,2,70.6,10.264,0.0201,1512.749,1.6302,15.3281,9.4026,2466.078,0.6495,0.6238
1.603,2,71.58,0.89,95.2,0.0289,4516,15,18.98,476.4,,1.603,2,71.6,10.269,0.0289,1515.496,1.6499,14.3499,8.6973,2500.467,0.6381,0.6249
1.613,2,72.58,0.84,95.23,0.0203,4455,13,18.97,474.3,,1.613,2,72.6,10.264,0.0203,1514.088,1.668,12.4541,7.4664,2525.512,0.6276,0.6279
1.623,2,73.58,0.85,94.99,0.0187,4550,13,18.97,471.1,,1.623,2,73.6,10.265,0.0187,1519.615,1.6411,12.4506,7.5868,2493.817,0.6432,0.6323
1.633,2,74.58,0.84,94.94,0.0167,4489,12,18.97,467.4,,1.633,2,74.6,10.264,0.0167,1520.593,1.6583,11.4961,6.9323,2521.665,0.6332,0.6378
1.643,2,75.58,0.79,95.07,0.0202,4551,11,18.98,464.1,,1.643,2,75.6,10.259,0.0202,1516.93,1.6418,10.5529,6.4278,2490.445,0.6428,0.6426
1.653,2,76.58,0.77,95.31,0.0184,4620,11,18.98,464.8,,1.653,2,76.6,10.257,0.0184,1511.272,1.6231,10.5588,6.5053,2452.948,0.6537,0.6415
1.663,2,77.58,0.74,95.17,0.0181,4461,10,18.98,467.8,,1.663,2,77.6,10.254,0.0181,1513.953,1.6679,9.607,5.7599,2525.154,0.6277,0.6371
1.673,2,78.58,0.74,94.85,0.0245,4452,10,18.98,470.3,,1.673,2,78.6,10.254,0.0245,1521.139,1.6705,9.607,5.751,2541.054,0.6262,0.6336
1.683,2,79.58,0.71,94.89,0.0306,4462,10,18.98,472.8,,1.683,2,79.6,10.251,0.0306,1519.792,1.6681,9.6151,5.764,2535.202,0.6275,0.63
1.693,2,80.58,0.7,94.96,0.0198,4498,9,18.98,473.6,,1.693,2,80.6,10.25,0.0198,1518.069,1.6581,8.656,5.2206,2517.053,0.6334,0.6289
1.703,2,81.58,0.74,94.87,0.0323,4473,9,19.26,472,,1.703,2,81.6,10.254,0.0323,1520.688,1.6645,8.6463,5.1945,2531.187,0.6296,0.631
1.713,2,82.58,0.74,95.16,0.0213,4518,9,19.13,471.8,,1.713,2,82.6,10.254,0.0213,1514.176,1.6518,8.6463,5.2345,2501.094,0.637,0.6313
