Geotek MSCL 7.9 - TN336_JPC49-60.raw created at 3:52:20 on 1/29/2016.,,,,,,,,,,,Geotek MSCL 7.9 - TN336_JPC49-60.out created at 3:55:54 on 1/29/2016.,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Core Depth,Section,Sect Depth,CTD ,Tr. Time ,PW Amp   ,A Gamma  ,Mag Sus  ,Temp     ,NC Res   ,,SB DEPTH,SECT NUM,SECT DEPTH,CT,PWAmp,PWVel,Den1,MS1,MS1,Imp,FP,RES
m,,cm,mm,_sec,,cps,SI x 10^-5,_C,mV,,m,,cm,cm,,m/s,g/cc,SI x 10^-5,x 10^-8 (m^3/kg),,,Ohm.m
,,,,,,,,,,,,,,,,,,,,,,
0.002,1,0.2,4.27,96.54,0.0023,6328,15,18.15,254.1,,0.002,1,0.2,10.607,0.0023,1535.022,1.1665,13.0739,11.2082,1790.543,0.9185,1.2506
0.012,1,1.2,3.94,999,0,5545,19,18.15,302.4,,0.012,1,1.2,10.574,0,108.8353,1.3351,16.709,12.5156,145.301,0.8207,1.0328
0.022,1,2.2,3.07,99.34,0.0118,5470,23,18.14,432,,0.022,1,2.2,10.487,0.0118,1458.554,1.3635,20.7123,15.1901,1988.788,0.8042,0.6978
0.032,1,3.2,4.67,97.56,0.0047,5397,26,18.15,576,,0.032,1,3.2,10.647,0.0047,1518.397,1.36,22.4183,16.484,2065.027,0.8063,0.5086
0.042,1,4.2,5.04,97.7,0.0038,5399,30,18.15,662.6,,0.042,1,4.2,10.684,0.0038,1520.638,1.3548,25.6114,18.9038,2060.203,0.8093,0.436
0.052,1,5.2,3.23,96.29,0.0059,5358,37,18.15,681.4,,0.052,1,5.2,10.503,0.0059,1525.49,1.388,33.1741,23.9015,2117.307,0.7901,0.4228
0.062,1,6.2,3.3,96.47,0.0065,5356,45,18.16,671.5,,0.062,1,6.2,10.51,0.0065,1522.526,1.3875,40.2698,29.0231,2112.516,0.7903,0.4296
0.072,1,7.2,2.81,96.52,0.0034,5407,56,18.15,660.6,,0.072,1,7.2,10.461,0.0034,1514.331,1.3818,50.7909,36.757,2092.51,0.7936,0.4375
0.082,1,8.2,1.99,96.12,0.0004,5143,63,18.16,653.3,,0.082,1,8.2,10.379,0.0004,1511.211,1.458,58.4479,40.0889,2203.283,0.7494,0.4428
0.092,1,9.2,1.21,96.08,0.0001,4551,67,18.17,645.3,,0.092,1,9.2,10.301,0.0001,1500.728,1.6326,63.5241,38.9095,2450.104,0.6481,0.4489
0.102,1,10.2,0.91,999,0,4703,63,18.17,639.2,,0.102,1,10.2,10.271,0,105.7166,1.5929,60.2358,37.8162,168.3915,0.6712,0.4536
