<PWAVE-TN336_BB8-08--640>
<PWAVE SAMPLE POINT>
Depth In Core=-64.00
Depth In Section=0.00
SBD=0.00
Core ID=TN336_BB8-08
Section Number=cal
Section Length=64.00
Comments=Core TN336_BB8-08 logged at 15:12:46 on 01-20-2016
TOT=101.76
TX Level (Volts)=159
P-Wave Amp Gain=75.00
Delay=80.00
Gate=52.00
Date=1/20/2016
Time=15:15:31
</PWAVE SAMPLE POINT>
<PWAVE DATA>
Time (탎),Voltage (mV)
29.12,0.035
29.20,0.038
29.28,0.037
29.36,0.039
29.44,0.038
29.52,0.036
29.60,0.036
29.68,0.036
29.76,0.036
29.84,0.036
29.92,0.037
30.00,0.037
30.08,0.035
30.16,0.037
30.24,0.037
30.32,0.037
30.40,0.036
30.48,0.037
30.56,0.036
30.64,0.036
30.72,0.035
30.80,0.040
30.88,0.034
30.96,0.033
31.04,0.035
31.12,0.036
31.20,0.032
31.28,0.033
31.36,0.038
31.44,0.036
31.52,0.034
31.60,0.035
31.68,0.035
31.76,0.034
31.84,0.034
31.92,0.037
32.00,0.039
32.08,0.036
32.16,0.034
32.24,0.036
32.32,0.036
32.40,0.034
32.48,0.037
32.56,0.032
32.64,0.036
32.72,0.035
32.80,0.035
32.88,0.036
32.96,0.034
33.04,0.034
33.12,0.039
33.20,0.039
33.28,0.036
33.36,0.039
33.44,0.037
33.52,0.038
33.60,0.037
33.68,0.039
33.76,0.036
33.84,0.040
33.92,0.037
34.00,0.040
34.08,0.037
34.16,0.042
34.24,0.039
34.32,0.038
34.40,0.037
34.48,0.040
34.56,0.037
34.64,0.040
34.72,0.039
34.80,0.040
34.88,0.037
34.96,0.035
35.04,0.034
35.12,0.036
35.20,0.037
35.28,0.036
35.36,0.038
35.44,0.041
35.52,0.039
35.60,0.041
35.68,0.037
35.76,0.040
35.84,0.039
35.92,0.041
36.00,0.040
36.08,0.041
36.16,0.039
36.24,0.037
36.32,0.036
36.40,0.040
36.48,0.038
36.56,0.038
36.64,0.036
36.72,0.036
36.80,0.039
36.88,0.039
36.96,0.035
37.04,0.037
37.12,0.038
37.20,0.037
37.28,0.039
37.36,0.037
37.44,0.039
37.52,0.035
37.60,0.039
37.68,0.036
37.76,0.039
37.84,0.039
37.92,0.040
38.00,0.039
38.08,0.037
38.16,0.037
38.24,0.039
38.32,0.039
38.40,0.037
38.48,0.040
38.56,0.038
38.64,0.037
38.72,0.039
38.80,0.041
38.88,0.036
38.96,0.035
39.04,0.038
39.12,0.040
39.20,0.036
39.28,0.039
39.36,0.042
39.44,0.039
39.52,0.039
39.60,0.040
39.68,0.040
39.76,0.040
39.84,0.038
39.92,0.040
40.00,0.038
40.08,0.039
40.16,0.041
40.24,0.038
40.32,0.039
40.40,0.038
40.48,0.039
40.56,0.039
40.64,0.036
40.72,0.040
40.80,0.037
40.88,0.039
40.96,0.038
41.04,0.040
41.12,0.038
41.20,0.038
41.28,0.037
41.36,0.039
41.44,0.039
41.52,0.036
41.60,0.037
41.68,0.039
41.76,0.037
41.84,0.039
41.92,0.036
42.00,0.041
42.08,0.036
42.16,0.041
42.24,0.040
42.32,0.038
42.40,0.040
42.48,0.041
42.56,0.039
42.64,0.040
42.72,0.040
42.80,0.039
42.88,0.039
42.96,0.039
43.04,0.040
43.12,0.040
43.20,0.040
43.28,0.041
43.36,0.039
43.44,0.038
43.52,0.042
43.60,0.038
43.68,0.038
43.76,0.038
43.84,0.038
43.92,0.040
44.00,0.039
44.08,0.039
44.16,0.041
44.24,0.042
44.32,0.041
44.40,0.040
44.48,0.040
44.56,0.040
44.64,0.040
44.72,0.040
44.80,0.041
44.88,0.040
44.96,0.040
45.04,0.039
45.12,0.040
45.20,0.038
45.28,0.039
45.36,0.037
45.44,0.040
45.52,0.038
45.60,0.036
45.68,0.039
45.76,0.036
45.84,0.038
45.92,0.040
46.00,0.040
46.08,0.041
46.16,0.042
46.24,0.042
46.32,0.038
46.40,0.040
46.48,0.037
46.56,0.040
46.64,0.039
46.72,0.038
46.80,0.040
46.88,0.037
46.96,0.039
47.04,0.040
47.12,0.039
47.20,0.039
47.28,0.040
47.36,0.040
47.44,0.039
47.52,0.039
47.60,0.039
47.68,0.042
47.76,0.038
47.84,0.039
47.92,0.037
48.00,0.041
48.08,0.040
48.16,0.039
48.24,0.037
48.32,0.039
48.40,0.038
48.48,0.041
48.56,0.038
48.64,0.039
48.72,0.037
48.80,0.039
48.88,0.036
48.96,0.037
49.04,0.041
49.12,0.041
49.20,0.039
49.28,0.039
49.36,0.040
49.44,0.038
49.52,0.041
49.60,0.038
49.68,0.040
49.76,0.038
49.84,0.042
49.92,0.038
50.00,0.038
50.08,0.038
50.16,0.040
50.24,0.038
50.32,0.040
50.40,0.038
50.48,0.038
50.56,0.039
50.64,0.037
50.72,0.041
50.80,0.039
50.88,0.040
50.96,0.037
51.04,0.039
51.12,0.042
51.20,0.041
51.28,0.040
51.36,0.039
51.44,0.035
51.52,0.040
51.60,0.038
51.68,0.038
51.76,0.038
51.84,0.042
51.92,0.039
52.00,0.040
52.08,0.040
52.16,0.041
52.24,0.040
52.32,0.041
52.40,0.040
52.48,0.039
52.56,0.041
52.64,0.037
52.72,0.039
52.80,0.040
52.88,0.040
52.96,0.040
53.04,0.038
53.12,0.039
53.20,0.037
53.28,0.039
53.36,0.040
53.44,0.040
53.52,0.040
53.60,0.038
53.68,0.041
53.76,0.041
53.84,0.040
53.92,0.037
54.00,0.039
54.08,0.041
54.16,0.039
54.24,0.037
54.32,0.040
54.40,0.042
54.48,0.038
54.56,0.038
54.64,0.037
54.72,0.036
54.80,0.041
54.88,0.041
54.96,0.038
55.04,0.036
55.12,0.040
55.20,0.039
55.28,0.039
55.36,0.037
55.44,0.040
55.52,0.040
55.60,0.040
55.68,0.037
55.76,0.040
55.84,0.041
55.92,0.041
56.00,0.040
56.08,0.043
56.16,0.041
56.24,0.040
56.32,0.041
56.40,0.040
56.48,0.042
56.56,0.040
56.64,0.041
56.72,0.043
56.80,0.038
56.88,0.042
56.96,0.039
57.04,0.044
57.12,0.037
57.20,0.042
57.28,0.040
57.36,0.045
57.44,0.038
57.52,0.042
57.60,0.040
57.68,0.045
57.76,0.043
57.84,0.044
57.92,0.038
58.00,0.040
58.08,0.041
58.16,0.042
58.24,0.039
58.32,0.037
58.40,0.039
58.48,0.040
58.56,0.040
58.64,0.041
58.72,0.040
58.80,0.037
58.88,0.040
58.96,0.039
59.04,0.040
59.12,0.036
59.20,0.040
59.28,0.042
59.36,0.041
59.44,0.040
59.52,0.039
59.60,0.037
59.68,0.038
59.76,0.040
59.84,0.041
59.92,0.041
60.00,0.042
60.08,0.042
60.16,0.041
60.24,0.040
60.32,0.041
60.40,0.042
60.48,0.046
60.56,0.040
60.64,0.041
60.72,0.040
60.80,0.041
60.88,0.041
60.96,0.040
61.04,0.041
61.12,0.041
61.20,0.041
61.28,0.041
61.36,0.041
61.44,0.042
61.52,0.042
61.60,0.041
61.68,0.039
61.76,0.041
61.84,0.043
61.92,0.039
62.00,0.039
62.08,0.039
62.16,0.040
62.24,0.041
62.32,0.039
62.40,0.040
62.48,0.038
62.56,0.042
62.64,0.039
62.72,0.037
62.80,0.037
62.88,0.039
62.96,0.039
63.04,0.039
63.12,0.040
63.20,0.039
63.28,0.040
63.36,0.041
63.44,0.040
63.52,0.039
63.60,0.038
63.68,0.037
63.76,0.037
63.84,0.040
63.92,0.038
64.00,0.038
64.08,0.038
64.16,0.036
64.24,0.035
64.32,0.038
64.40,0.039
64.48,0.037
64.56,0.041
64.64,0.039
64.72,0.042
64.80,0.040
64.88,0.042
64.96,0.041
65.04,0.043
65.12,0.043
65.20,0.043
65.28,0.042
65.36,0.041
65.44,0.041
65.52,0.041
65.60,0.041
65.68,0.041
65.76,0.039
65.84,0.041
65.92,0.040
66.00,0.043
66.08,0.041
66.16,0.041
66.24,0.042
66.32,0.042
66.40,0.039
66.48,0.041
66.56,0.040
66.64,0.042
66.72,0.042
66.80,0.041
66.88,0.040
66.96,0.041
67.04,0.040
67.12,0.039
67.20,0.041
67.28,0.040
67.36,0.038
67.44,0.041
67.52,0.039
67.60,0.038
67.68,0.042
67.76,0.044
67.84,0.040
67.92,0.039
68.00,0.042
68.08,0.041
68.16,0.041
68.24,0.040
68.32,0.042
68.40,0.041
68.48,0.043
68.56,0.043
68.64,0.041
68.72,0.040
68.80,0.043
68.88,0.041
68.96,0.041
69.04,0.039
69.12,0.041
69.20,0.040
69.28,0.041
69.36,0.039
69.44,0.042
69.52,0.039
69.60,0.042
69.68,0.039
69.76,0.041
69.84,0.039
69.92,0.038
70.00,0.042
70.08,0.041
70.16,0.039
70.24,0.043
70.32,0.041
70.40,0.039
70.48,0.040
70.56,0.039
70.64,0.045
70.72,0.041
70.80,0.042
70.88,0.041
70.96,0.041
71.04,0.039
71.12,0.043
71.20,0.040
71.28,0.040
71.36,0.041
71.44,0.043
71.52,0.042
71.60,0.038
71.68,0.039
71.76,0.042
71.84,0.039
71.92,0.040
72.00,0.041
72.08,0.038
72.16,0.040
72.24,0.038
72.32,0.038
72.40,0.040
72.48,0.039
72.56,0.038
72.64,0.039
72.72,0.039
72.80,0.039
72.88,0.039
72.96,0.038
73.04,0.039
73.12,0.038
73.20,0.038
73.28,0.037
73.36,0.039
73.44,0.040
73.52,0.039
73.60,0.041
73.68,0.040
73.76,0.037
73.84,0.040
73.92,0.039
74.00,0.039
74.08,0.042
74.16,0.039
74.24,0.041
74.32,0.038
74.40,0.040
74.48,0.039
74.56,0.042
74.64,0.041
74.72,0.040
74.80,0.038
74.88,0.041
74.96,0.040
75.04,0.040
75.12,0.041
75.20,0.038
75.28,0.040
75.36,0.039
75.44,0.040
75.52,0.040
75.60,0.042
75.68,0.043
75.76,0.044
75.84,0.039
75.92,0.039
76.00,0.042
76.08,0.042
76.16,0.042
76.24,0.041
76.32,0.040
76.40,0.035
76.48,0.042
76.56,0.039
76.64,0.043
76.72,0.038
76.80,0.043
76.88,0.041
76.96,0.040
77.04,0.041
77.12,0.040
77.20,0.042
77.28,0.040
77.36,0.041
77.44,0.040
77.52,0.044
77.60,0.041
77.68,0.040
77.76,0.041
77.84,0.042
77.92,0.041
78.00,0.040
78.08,0.042
78.16,0.041
78.24,0.040
78.32,0.042
78.40,0.041
78.48,0.039
78.56,0.039
78.64,0.039
78.72,0.039
78.80,0.039
78.88,0.039
78.96,0.040
79.04,0.038
79.12,0.039
79.20,0.039
79.28,0.039
79.36,0.042
79.44,0.040
79.52,0.038
79.60,0.039
79.68,0.038
79.76,0.039
79.84,0.039
79.92,0.040
80.00,0.042
80.08,0.040
80.16,0.037
80.24,0.039
80.32,0.043
80.40,0.038
80.48,0.040
80.56,0.041
80.64,0.039
80.72,0.039
80.80,0.040
80.88,0.039
80.96,0.041
81.04,0.040
81.12,0.041
81.20,0.038
81.28,0.039
81.36,0.040
81.44,0.042
81.52,0.041
81.60,0.040
81.68,0.043
81.76,0.040
81.84,0.040
81.92,0.043
82.00,0.041
82.08,0.040
82.16,0.040
82.24,0.042
82.32,0.038
82.40,0.038
82.48,0.039
82.56,0.040
82.64,0.035
82.72,0.039
82.80,0.039
82.88,0.038
82.96,0.041
83.04,0.041
83.12,0.039
83.20,0.042
83.28,0.042
83.36,0.041
83.44,0.043
83.52,0.042
83.60,0.044
83.68,0.043
83.76,0.040
83.84,0.038
83.92,0.040
84.00,0.041
84.08,0.039
84.16,0.039
84.24,0.042
84.32,0.042
84.40,0.040
84.48,0.041
84.56,0.039
84.64,0.040
84.72,0.041
84.80,0.040
84.88,0.039
84.96,0.041
85.04,0.040
85.12,0.039
85.20,0.042
85.28,0.040
85.36,0.045
85.44,0.043
85.52,0.040
85.60,0.041
85.68,0.042
85.76,0.040
85.84,0.039
85.92,0.040
86.00,0.037
86.08,0.039
86.16,0.042
86.24,0.039
86.32,0.039
86.40,0.039
86.48,0.042
86.56,0.040
86.64,0.041
86.72,0.043
86.80,0.042
86.88,0.040
86.96,0.038
87.04,0.039
87.12,0.040
87.20,0.041
87.28,0.041
87.36,0.043
87.44,0.039
87.52,0.039
87.60,0.040
87.68,0.041
87.76,0.040
87.84,0.039
87.92,0.042
88.00,0.041
88.08,0.040
88.16,0.042
88.24,0.042
88.32,0.039
88.40,0.040
88.48,0.044
88.56,0.042
88.64,0.043
88.72,0.042
88.80,0.044
88.88,0.043
88.96,0.040
89.04,0.042
89.12,0.042
89.20,0.038
89.28,0.040
89.36,0.039
89.44,0.040
89.52,0.039
89.60,0.041
89.68,0.041
89.76,0.040
89.84,0.040
89.92,0.043
90.00,0.040
90.08,0.041
90.16,0.044
90.24,0.041
90.32,0.043
90.40,0.043
90.48,0.040
90.56,0.042
90.64,0.044
90.72,0.039
90.80,0.047
90.88,0.043
90.96,0.044
91.04,0.042
91.12,0.042
91.20,0.044
91.28,0.045
91.36,0.044
91.44,0.042
91.52,0.043
91.60,0.047
91.68,0.045
91.76,0.044
91.84,0.040
91.92,0.043
92.00,0.042
92.08,0.041
92.16,0.043
92.24,0.045
92.32,0.043
92.40,0.043
92.48,0.044
92.56,0.043
92.64,0.043
92.72,0.044
92.80,0.041
92.88,0.044
92.96,0.044
93.04,0.045
93.12,0.051
93.20,0.051
93.28,0.055
93.36,0.056
93.44,0.062
93.52,0.068
93.60,0.072
93.68,0.072
93.76,0.078
93.84,0.082
93.92,0.085
94.00,0.085
94.08,0.085
94.16,0.086
94.24,0.085
94.32,0.082
94.40,0.078
94.48,0.071
94.56,0.067
94.64,0.055
94.72,0.045
94.80,0.039
94.88,0.020
94.96,-0.003
95.04,-0.020
95.12,-0.041
95.20,-0.062
95.28,-0.086
95.36,-0.114
95.44,-0.139
95.52,-0.164
95.60,-0.194
95.68,-0.218
95.76,-0.246
95.84,-0.269
95.92,-0.286
96.00,-0.308
96.08,-0.320
96.16,-0.329
96.24,-0.337
96.32,-0.339
96.40,-0.332
96.48,-0.321
96.56,-0.305
96.64,-0.286
96.72,-0.256
96.80,-0.220
96.88,-0.185
96.96,-0.141
97.04,-0.096
97.12,-0.047
97.20,0.001
97.28,0.072
97.36,0.161
97.44,0.250
97.52,0.336
97.60,0.404
97.68,0.459
97.76,0.513
97.84,0.571
97.92,0.634
98.00,0.688
98.08,0.742
98.16,0.790
98.24,0.827
98.32,0.857
98.40,0.877
98.48,0.889
98.56,0.888
98.64,0.876
98.72,0.857
98.80,0.829
98.88,0.782
98.96,0.738
99.04,0.677
99.12,0.612
99.20,0.543
99.28,0.462
99.36,0.339
99.44,0.222
99.52,0.135
99.60,0.023
99.68,-0.169
99.76,-0.338
99.84,-0.491
99.92,-0.630
100.00,-0.762
100.08,-0.883
100.16,-0.989
100.24,-1.085
100.32,-1.155
100.40,-1.224
100.48,-1.273
100.56,-1.303
100.64,-1.315
100.72,-1.315
100.80,-1.293
100.88,-1.253
100.96,-1.189
101.04,-1.120
101.12,-1.039
101.20,-0.931
101.28,-0.816
101.36,-0.690
101.44,-0.561
101.52,-0.419
101.60,-0.286
101.68,-0.161
101.76,-0.060
101.84,0.042
101.92,0.295
102.00,0.423
102.08,0.526
102.16,0.632
102.24,0.740
102.32,0.829
102.40,0.907
102.48,0.963
102.56,1.009
102.64,1.032
102.72,1.045
102.80,1.039
102.88,1.015
102.96,0.980
103.04,0.932
103.12,0.867
103.20,0.800
103.28,0.719
103.36,0.632
103.44,0.547
103.52,0.446
103.60,0.305
103.68,0.197
103.76,0.114
103.84,-0.036
103.92,-0.200
104.00,-0.341
104.08,-0.457
104.16,-0.556
104.24,-0.635
104.32,-0.701
104.40,-0.748
104.48,-0.776
104.56,-0.791
104.64,-0.785
104.72,-0.760
104.80,-0.721
104.88,-0.674
104.96,-0.603
105.04,-0.524
105.12,-0.441
105.20,-0.352
105.28,-0.251
105.36,-0.158
105.44,-0.075
105.52,-0.001
105.60,0.161
105.68,0.296
105.76,0.405
105.84,0.480
105.92,0.543
106.00,0.611
106.08,0.666
106.16,0.711
106.24,0.742
106.32,0.759
106.40,0.762
106.48,0.756
106.56,0.733
106.64,0.702
106.72,0.655
106.80,0.605
106.88,0.546
106.96,0.478
107.04,0.381
107.12,0.267
107.20,0.178
107.28,0.101
107.36,-0.035
107.44,-0.186
107.52,-0.322
107.60,-0.438
107.68,-0.549
107.76,-0.639
107.84,-0.716
107.92,-0.786
108.00,-0.840
108.08,-0.871
108.16,-0.894
108.24,-0.894
108.32,-0.881
108.40,-0.853
108.48,-0.811
108.56,-0.757
108.64,-0.683
108.72,-0.598
108.80,-0.508
108.88,-0.408
108.96,-0.315
109.04,-0.210
109.12,-0.118
109.20,-0.038
109.28,0.073
109.36,0.245
109.44,0.369
109.52,0.455
109.60,0.525
109.68,0.598
109.76,0.667
109.84,0.723
109.92,0.764
110.00,0.802
110.08,0.819
110.16,0.824
110.24,0.819
110.32,0.802
110.40,0.767
110.48,0.726
110.56,0.677
110.64,0.624
110.72,0.561
110.80,0.495
110.88,0.407
110.96,0.296
111.04,0.204
111.12,0.131
111.20,0.044
111.28,-0.106
111.36,-0.231
111.44,-0.339
111.52,-0.423
111.60,-0.504
111.68,-0.568
111.76,-0.618
111.84,-0.656
111.92,-0.684
112.00,-0.695
112.08,-0.696
112.16,-0.677
112.24,-0.657
112.32,-0.619
112.40,-0.571
112.48,-0.515
112.56,-0.450
112.64,-0.380
112.72,-0.313
112.80,-0.239
112.88,-0.160
112.96,-0.093
113.04,-0.034
113.12,0.041
113.20,0.151
113.28,0.242
113.36,0.319
113.44,0.379
113.52,0.421
113.60,0.450
113.68,0.475
113.76,0.501
113.84,0.513
113.92,0.518
114.00,0.517
114.08,0.509
114.16,0.492
114.24,0.467
114.32,0.434
114.40,0.394
114.48,0.345
114.56,0.286
114.64,0.230
114.72,0.180
114.80,0.126
114.88,0.072
114.96,-0.001
115.04,-0.071
115.12,-0.144
115.20,-0.206
115.28,-0.256
115.36,-0.303
115.44,-0.340
115.52,-0.363
115.60,-0.384
115.68,-0.394
115.76,-0.401
115.84,-0.397
115.92,-0.391
116.00,-0.376
116.08,-0.354
116.16,-0.330
116.24,-0.299
116.32,-0.259
116.40,-0.219
116.48,-0.174
116.56,-0.128
116.64,-0.086
116.72,-0.041
116.80,0.003
116.88,0.063
116.96,0.131
117.04,0.191
117.12,0.245
117.20,0.289
117.28,0.334
117.36,0.372
117.44,0.395
117.52,0.419
117.60,0.432
117.68,0.441
117.76,0.452
117.84,0.454
117.92,0.454
118.00,0.449
118.08,0.442
118.16,0.428
118.24,0.411
118.32,0.390
118.40,0.361
118.48,0.328
118.56,0.294
118.64,0.261
118.72,0.222
118.80,0.188
118.88,0.155
118.96,0.117
119.04,0.077
119.12,0.047
119.20,0.002
119.28,-0.035
119.36,-0.077
119.44,-0.110
119.52,-0.137
119.60,-0.164
119.68,-0.192
119.76,-0.209
119.84,-0.226
119.92,-0.238
120.00,-0.242
120.08,-0.250
120.16,-0.250
120.24,-0.248
120.32,-0.245
120.40,-0.238
120.48,-0.228
120.56,-0.217
120.64,-0.201
120.72,-0.187
120.80,-0.168
120.88,-0.148
120.96,-0.131
121.04,-0.118
121.12,-0.098
121.20,-0.081
121.28,-0.060
121.36,-0.044
121.44,-0.025
121.52,-0.010
121.60,0.004
121.68,0.028
121.76,0.042
121.84,0.053
121.92,0.067
122.00,0.073
122.08,0.085
122.16,0.090
122.24,0.096
122.32,0.098
122.40,0.103
122.48,0.104
122.56,0.108
122.64,0.104
122.72,0.102
122.80,0.098
122.88,0.091
122.96,0.088
123.04,0.078
123.12,0.074
123.20,0.068
123.28,0.061
123.36,0.052
123.44,0.047
123.52,0.039
123.60,0.034
123.68,0.028
123.76,0.020
123.84,0.011
123.92,0.007
124.00,0.008
124.08,0.011
124.16,0.010
124.24,0.015
124.32,0.024
124.40,0.028
124.48,0.034
124.56,0.044
124.64,0.049
124.72,0.057
124.80,0.066
124.88,0.075
124.96,0.085
125.04,0.102
125.12,0.113
125.20,0.127
125.28,0.135
125.36,0.144
125.44,0.160
125.52,0.169
125.60,0.174
125.68,0.180
125.76,0.180
125.84,0.181
125.92,0.180
126.00,0.183
126.08,0.171
126.16,0.168
126.24,0.155
126.32,0.143
126.40,0.132
126.48,0.114
126.56,0.101
126.64,0.079
126.72,0.064
126.80,0.043
126.88,0.026
126.96,-0.007
127.04,-0.027
127.12,-0.050
