Geotek MSCL 7.9 - TN336_BB34-39.raw created at 6:57:51 on 1/25/2016.,,,,,,,,,,,Geotek MSCL 7.9 - TN336_BB34-39.out created at 7:04:18 on 1/25/2016.,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Core Depth,Section,Sect Depth,CTD ,Tr. Time ,PW Amp   ,A Gamma  ,Mag Sus  ,Temp     ,NC Res   ,,SB DEPTH,SECT NUM,SECT DEPTH,CT,PWAmp,PWVel,Den1,MS1,MS1,Imp,FP,RES
m,,cm,mm,_sec,,cps,SI x 10^-5,_C,mV,,m,,cm,cm,,m/s,g/cc,SI x 10^-5,x 10^-8 (m^3/kg),,,Ohm.m
,,,,,,,,,,,,,,,,,,,,,,
-0.637,cal,0.01,4.57,98.03,0.0008,12166,-1,18.9,6.9,,-0.637,cal sect,0,10.637,0.0008,,,,,,,63.8458
-0.577,cal,6.01,1.89,96.04,0.0169,6412,-1,18.89,29.4,,-0.577,cal sect,6,10.369,0.0169,1489.585,1.184,-0.9303,,,0.9084,13.4402
-0.517,cal,12.01,-0.29,95.68,0.016,6693,-1,18.89,30.3,,-0.517,cal sect,12,10.151,0.016,1465.848,1.1559,-0.9891,-0.8557,1694.414,0.9246,13.0197
-0.457,cal,18.01,0.06,95.67,0.0269,6772,-1,18.89,30.6,,-0.457,cal sect,18,10.186,0.0269,1471.115,1.1375,-0.9793,-0.861,1673.341,0.9353,12.8867
-0.397,cal,24.01,2.33,96.87,0.0014,6758,-1,18.91,41.9,,-0.397,cal sect,24,10.413,0.0014,1478.279,1.1152,-0.9191,-0.8241,1648.526,0.9483,9.1626
-0.337,cal,30.01,4.77,97.75,0.0027,6555,-1,18.9,100.7,,-0.337,cal sect,30,10.657,0.0027,1494.251,1.1257,-0.8599,-0.7639,1682.117,0.9422,3.5666
-0.277,cal,36.01,2.94,96.4,0.0094,6589,-1,18.9,650.4,,-0.277,cal sect,36,10.474,0.0094,1496.927,1.1391,-0.9037,-0.7934,1705.22,0.9344,0.4779
-0.217,cal,42.01,0.03,94.66,0.0077,6686,-1,18.9,803,,-0.217,cal sect,42,10.183,0.0077,1492.452,1.1536,-0.9802,-0.8497,1721.677,0.926,0.3808
-0.157,cal,48.01,0.05,94.93,0.0163,6719,-1,18.91,795.2,,-0.157,cal sect,48,10.185,0.0163,1486.861,1.1473,-0.9796,-0.8538,1705.84,0.9297,0.3848
-0.097,cal,54.01,2.51,96.18,0.0019,6560,-1,18.92,770.5,,-0.097,cal sect,54,10.431,0.0019,1495.484,1.1492,-0.9145,-0.7958,1718.596,0.9285,0.3981
