Geotek MSCL 7.9 - TN336_JPC26-29_sec2.out created at 21:34:26 on 1/23/2016.


Processing Parameters

PWAmp	A=1	B=0
PWVel	PTO=26.15


SB DEPTH	SECT NUM	SECT DEPTH	PWAmp	PWVel
m		cm		m/s

1.351	 1	135.1	0.0006	1348.88
1.361	 1	136.1	0.0007	1197.788
1.371	 1	137.1	0.001	1182.621
1.381	 1	138.1	0.0001	1112.204
1.391	 1	139.1	0.0003	1257.877
1.401	 1	140.1	0.0	104.641
1.411	 1	141.1	0.0	104.641
1.421	 1	142.1	0.0001	1043.995
1.431	 1	143.1	0.0	104.641
1.441	 1	144.1	0.0	104.641
1.451	 1	145.1	0.0	104.641
1.461	 1	146.1	0.0	104.641
1.471	 1	147.1	0.0	104.641
1.481	 1	148.1	0.0001	1233.043
1.491	 1	149.1	0.0004	1446.639
1.501	 1	150.1	0.0	104.641
