Geotek MSCL 7.9 - TN336_TC4-04_Try2_massMS.out created at 12:39:54 on 1/20/2016.


Processing Parameters

Den1	A=5.8845E-04	B=-.089542	C=8.5401
MS1	A=1	B=0	Den=1	LD=14	
FP	MGD=2.75	WD=1.026	
RES	A=858.6318	B=-1.165855	p=0	


SB DEPTH	SECT NUM	SECT DEPTH	Den1	MS1	FP	RES
m		cm	g/cc	x 10^-8 (m^3/kg)		Ohm.m

0.980	 1	98.0	1.7363	6.7799	0.588	0.8971
0.990	 1	99.0	1.7206	7.412	0.5971	0.8941
1.000	 1	100.0	1.7239	6.8285	0.5952	0.8957
1.010	 1	101.0	1.7273	6.8152	0.5932	0.8976
1.020	 1	102.0	1.715	7.4361	0.6003	0.9005
1.030	 1	103.0	1.7039	6.9086	0.6068	0.9035
1.040	 1	104.0	1.7919	6.5693	0.5557	0.9082
1.050	 1	105.0	1.7719	6.6435	0.5673	0.9123
1.060	 1	106.0	1.7719	7.1972	0.5673	0.9179
1.070	 1	107.0	1.7431	6.7534	0.584	0.9222
1.080	 1	108.0	1.7731	6.6392	0.5667	0.9265
1.090	 1	109.0	1.7754	6.6304	0.5653	0.9317
1.100	 1	110.0	1.7825	6.6042	0.5612	0.9403
1.110	 1	111.0	1.7557	6.7049	0.5767	0.9447
1.120	 1	112.0	1.7801	6.6129	0.5626	0.9463
1.130	 1	113.0	1.7454	7.3066	0.5827	0.9452
1.140	 1	114.0	1.7638	7.2304	0.5721	0.9419
1.150	 1	115.0	1.7708	6.6479	0.568	0.9385
1.160	 1	116.0	1.7813	6.6086	0.5619	0.9306
1.170	 1	117.0	1.7991	6.5432	0.5516	0.9274
1.180	 1	118.0	1.7626	7.2351	0.5727	0.9212
1.190	 1	119.0	1.7206	6.8418	0.5971	0.9232
1.200	 1	120.0	1.7603	6.6874	0.5741	0.9491
1.210	 1	121.0	1.7754	6.6304	0.5653	1.0203
1.220	 1	122.0	1.7649	6.6698	0.5714	1.0318
1.230	 1	123.0	1.75	6.7269	0.5801	1.0407
1.240	 1	124.0	1.7522	7.278	0.5787	1.0477
1.250	 1	125.0	1.7626	6.6786	0.5727	1.051
1.260	 1	126.0	1.7789	6.6173	0.5633	1.0572
1.270	 1	127.0	1.7813	6.6086	0.5619	1.0598
1.280	 1	128.0	1.7128	6.8729	0.6016	1.0844
1.290	 1	129.0	1.734	6.7887	0.5893	1.0961
1.300	 1	130.0	1.7329	6.7931	0.59	1.1091
1.310	 1	131.0	1.75	6.1664	0.5801	1.1311
1.320	 1	132.0	1.715	6.292	0.6003	1.1583
1.330	 1	133.0	1.7568	6.1422	0.5761	1.202
1.340	 1	134.0	1.7352	6.2189	0.5887	1.2532
1.350	 1	135.0	1.6121	6.0852	0.66	1.3367
1.360	 1	136.0	1.6325	6.0089	0.6482	1.4795
1.370	 1	137.0	1.7534	5.5948	0.5781	1.7629
1.380	 1	138.0	1.7884	4.9368	0.5578	2.3246
1.390	 1	139.0	1.7488	3.9266	0.5807	3.3954
1.400	 1	140.0	0.2713	21.6958	1.4378	5.5376
