Geotek MSCL 7.9 - TN336_TC32-37.raw created at 0:16:59 on 1/25/2016.,,,,,,,,,,,Geotek MSCL 7.9 - TN336_TC32-37.out created at 0:19:46 on 1/25/2016.,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Core Depth,Section,Sect Depth,CTD ,Tr. Time ,PW Amp   ,A Gamma  ,Mag Sus  ,Temp     ,NC Res   ,,SB DEPTH,SECT NUM,SECT DEPTH,CT,PWAmp,PWVel,Den1,MS1,MS1,Imp,FP,RES
m,,cm,mm,_sec,,cps,SI x 10^-5,_C,mV,,m,,cm,cm,,m/s,g/cc,SI x 10^-5,x 10^-8 (m^3/kg),,,Ohm.m
,,,,,,,,,,,,,,,,,,,,,,
0.312,1,31.2,0.36,95.82,0.003,5120,21,18.64,698.4,,0.312,1,31.2,10.216,0.003,1472.258,1.4896,20.3919,13.6896,2193.067,0.7311,0.4425
0.322,1,32.2,0.41,95.58,0.0037,5077,21,18.65,696.6,,0.322,1,32.2,10.221,0.0037,1478.091,1.5,20.3632,13.5757,2217.089,0.7251,0.4438
0.332,1,33.2,0.41,95.64,0.0053,5060,21,18.64,696.1,,0.332,1,33.2,10.221,0.0053,1476.81,1.5044,20.3632,13.5358,2221.697,0.7225,0.4441
0.342,1,34.2,0.4,95.72,0.005,5075,21,18.65,691.5,,0.342,1,34.2,10.22,0.005,1474.96,1.5006,20.3689,13.5735,2213.375,0.7247,0.4473
0.352,1,35.2,0.42,95.72,0.005,5039,21,18.64,686.3,,0.352,1,35.2,10.222,0.005,1475.249,1.5097,20.3574,13.4841,2227.228,0.7194,0.451
0.362,1,36.2,0.38,95.72,0.0048,4938,21,18.63,678.6,,0.362,1,36.2,10.218,0.0048,1474.672,1.5371,20.3804,13.2587,2266.769,0.7035,0.4565
0.372,1,37.2,0.42,95.81,0.0044,5107,21,18.63,671.8,,0.372,1,37.2,10.222,0.0044,1473.335,1.4921,20.3574,13.6438,2198.31,0.7297,0.4614
0.382,1,38.2,0.42,95.89,0.0032,5065,21,18.63,661.4,,0.382,1,38.2,10.222,0.0032,1471.638,1.5029,20.3574,13.5451,2211.784,0.7234,0.4693
0.392,1,39.2,0.42,95.79,0.0039,5031,21,18.63,654.8,,0.392,1,39.2,10.222,0.0039,1473.76,1.5118,20.3574,13.4654,2228.072,0.7182,0.4744
0.402,1,40.2,0.42,96.01,0.0036,4974,22,18.63,647.5,,0.402,1,40.2,10.222,0.0036,1469.1,1.5269,21.3268,13.9674,2243.17,0.7095,0.4801
